neuron_id,subclass,main_class,n_nodes,n_tips,n_bpts,max_reach,total_len
79,PA,1,177,21,14,166.01061984102103,813.3040428515826
80,PA,1,171,18,11,212.87954951098519,858.0658120288113
81,PA,1,201,25,18,175.35551231712105,895.9862567012764
82,PA,1,147,16,9,198.05844087036533,720.6574372539285
83,PA,1,141,15,8,181.0621454086966,698.3573726705268
84,PA,1,153,18,11,195.82113803162315,751.3181333301568
85,PA,1,183,23,16,177.90241201287856,811.8445325110099
86,PA,1,159,18,11,195.75766472861287,768.4119545388804
87,PA,1,147,16,9,213.7067649841717,726.6813869666993
88,PA,1,183,21,14,188.04982557822277,848.6140718020737
89,PA,1,171,21,14,201.0106479766681,848.8666620454201
90,PA,1,195,24,17,202.33142860168806,922.1570259509047
91,PA,1,159,19,12,189.14512761369244,769.3630020549916
92,PA,1,177,20,13,169.661907038675,800.2641563084175
93,PA,1,159,19,12,168.53186820301968,720.7816917428601
94,PA,1,165,19,12,213.21284084219693,797.4148858258973
95,PA,1,195,22,15,199.009527661366,878.2589192019732
96,PA,1,177,20,13,167.09378384607848,808.6248163361058
97,PA,1,171,21,14,210.9310868506584,809.9064125372671
98,PA,1,183,21,14,188.26623515649322,852.5690439613994
99,PA,1,171,20,13,166.20888724734309,728.9836617918543
100,PA,1,177,21,14,187.6494948034766,792.6360919155012
101,PA,1,129,13,6,174.8562326598626,598.0977403634272
102,PA,1,189,22,15,188.02316612587927,873.6279939283123
103,PA,1,159,18,11,212.18145465615038,789.2063008303913
104,PA,1,189,22,15,190.54635551487203,874.0272255761957
105,PA,1,165,17,10,202.66137397146008,750.7068203484326
106,PA,1,189,23,16,178.53709838574167,904.9425009676308
107,PA,1,177,20,13,203.1784304496912,842.5122090617056
108,PA,1,183,22,15,209.9768570581053,930.3485503387122
109,PA,1,159,17,10,212.31312559519253,754.2551495579004
110,PA,1,195,23,16,205.94639521001574,896.0910035766392
111,PA,1,189,22,15,205.45062156148373,883.6841292707549
112,PA,1,183,21,14,207.02675237756108,894.9066828707934
113,PA,1,141,15,8,197.72320577008657,705.2076404021684
114,PA,1,177,20,13,208.02081121849324,862.3628466457951
115,PA,1,201,24,17,186.87517892968026,880.964253707746
116,PA,1,195,24,17,209.81981341141258,942.3292783810856
117,PA,1,159,19,12,187.20206569373107,718.3923872257132
118,PA,1,195,24,17,180.77972839895517,899.7630305214961
119,PA,1,153,16,9,192.15245067393755,715.449486692791
120,PA,1,213,25,18,177.43817486662786,979.030010105268
121,PA,1,159,19,12,174.01719024280334,757.286730005039
122,PA,1,147,16,9,187.9388653259352,737.9414314879231
123,PA,1,177,21,14,166.26145103420697,792.3016087366311
124,PA,1,195,25,18,182.14905379935408,882.6046690185958
125,PA,1,171,21,14,179.06263178005622,750.4960305602486
126,PA,1,147,15,8,163.08126593818187,665.809527584804
127,PA,1,189,22,15,192.71107155532087,804.6638103013286
128,PA,1,159,18,11,181.6063033047036,731.1596702963752
129,PA,1,195,25,18,198.47778162807037,889.6258851758917
130,PA,1,177,21,14,180.5379555661357,839.9622192137291
131,PA,1,165,19,12,193.3501688646793,769.5012623070545
132,PA,1,177,21,14,166.6799673026126,811.6585309018922
133,PA,1,195,25,18,208.35767588452316,901.4424546567967
134,PA,1,171,21,14,172.71869151889726,726.6411571938064
135,PA,1,147,17,10,198.46512439217125,695.1199363258187
136,PA,1,183,22,15,169.06942390627586,796.7344272874572
137,PA,1,171,18,11,215.14959470098938,818.4420425107305
138,PA,1,171,20,13,168.90873364038936,758.0163222294864
139,PA,1,165,19,12,167.60310826473355,718.066222049011
140,PA,1,171,21,14,164.58179881141172,774.5710094839868
141,PA,1,171,19,12,198.3092947897299,796.3958468723885
142,PA,1,171,19,12,203.72499159406047,784.9954588275003
143,PA,1,153,18,11,181.01526372104644,731.0403557324595
144,PA,1,201,23,16,179.17371989217617,853.5331919063213
145,PA,1,171,19,12,171.79527379995062,774.6343163165178
146,PA,1,135,15,8,160.84836492796563,634.0270490849497
147,PA,1,171,21,14,166.77888985120387,768.6500189195306
148,PA,1,159,18,11,169.9488087631096,692.0293439074662
149,PA,1,177,19,12,180.74321536367555,795.2608663133237
150,PA,1,177,21,14,195.23787644819333,832.8655544988586
151,PA,1,183,22,15,163.01616177545097,779.6319380952333
152,PA,1,177,21,14,194.65176829404865,800.0495916816649
153,PA,1,171,19,12,202.99419129620435,833.2907054262399
154,PA,1,177,20,13,198.83719118917364,828.817938982347
155,PA,1,201,25,18,171.73262765124164,891.9752596117218
156,PA,1,183,23,16,169.41757110760383,830.18741067809
157,PA,1,165,18,11,182.26226515655947,714.0384899356135
158,PA,1,207,25,18,209.35115595572907,970.1020188834294
159,PA,1,165,17,10,198.74014038437227,823.1188191005202
160,PA,1,165,20,13,170.21527017280206,718.6245428197633
161,PA,1,153,18,11,196.5174361220907,699.445069998698
162,PA,1,171,21,14,186.30744402733887,824.5149266615309
163,PA,1,165,19,12,187.16930170303036,802.7204756754396
164,PA,1,165,19,12,215.16082450111588,797.5474215667987
165,PA,1,177,22,15,193.0077358553278,798.4203502689089
166,PA,1,159,19,12,209.10927239125482,733.2274681366645
167,PA,1,153,17,10,183.88243771497048,729.1648527917972
168,PA,1,183,20,13,206.8142860152557,875.5077507429882
169,PA,1,183,20,13,200.05692589860516,848.6482827550788
170,PA,1,159,17,10,162.02287677979305,706.0050235602522
171,PA,1,159,18,11,196.12523193102922,797.5030458625288
172,PA,1,171,21,14,198.31467772204863,810.8128024852724
173,PA,1,201,26,19,205.99199353372933,881.9735026436865
174,PA,1,171,20,13,207.13345215102268,807.5999710664356
175,PA,1,165,19,12,178.59167449800117,745.0160905464471
176,PA,1,153,18,11,181.40319456944522,683.912522135573
177,PA,1,195,22,15,176.69550560215163,900.5418202087865
178,PA,1,177,21,14,180.98755785964957,769.9273078050177
179,PA,1,189,21,14,177.7213490270654,783.7248011636004
180,PA,1,177,20,13,163.77352502770404,734.5475572450188
181,PA,1,165,20,13,186.52041872138287,742.3254775001653
182,PA,1,219,27,20,204.35351942161407,944.1890754855344
183,PA,1,171,20,13,171.1548243550266,778.2793721318299
184,PA,1,153,18,11,214.43801458696637,734.0931404690087
185,PA,1,177,20,13,208.3836855418389,811.6630542224217
186,PA,1,159,17,10,183.1881243421636,743.357604299067
187,PA,1,189,20,13,199.63665945912842,875.3265801800449
188,PA,1,165,19,12,182.40883174890408,768.9133652097366
189,PA,1,159,17,10,187.31207916202305,778.6252096351187
190,PA,1,195,25,18,168.5913713687625,845.5804220121081
191,PA,1,135,15,8,198.24823883202595,674.7088167515911
192,PA,1,177,22,15,170.1268873517646,819.798560314004
193,PA,1,195,23,16,196.22112067766813,936.3622842542688
194,PA,1,183,21,14,203.21499231109894,835.6105676350086
195,PA,1,189,21,14,162.23470806211597,795.6222122627864
196,PA,1,201,24,17,180.62481612447388,939.0830096753729
197,PA,1,171,21,14,190.1944936111453,765.911621933764
198,PA,1,165,20,13,208.29280568468994,755.7109607093845
199,PA,1,171,18,11,175.06038101180974,743.5261061617556
200,PA,1,129,13,6,184.09648258454044,663.4589632174093
201,PB,1,498,102,91,117.41183500823074,2489.049164902898
202,PB,1,613,154,142,133.16183387142127,3315.335746285171
203,PB,1,455,99,87,126.10981087924921,2512.6206065975534
204,PB,1,671,164,152,114.75196251045122,3703.594472033778
205,PB,1,471,116,104,125.52279195429013,2776.094815087562
206,PB,1,485,103,91,117.33882605514681,2596.1270826960454
207,PB,1,503,108,96,132.6580751405658,2728.2996775370716
208,PB,1,523,94,84,120.05599401945743,2542.7871502691173
209,PB,1,439,78,68,124.7590405541819,2216.6435526019964
210,PB,1,426,92,81,124.58548912293116,2430.5637345021732
211,PB,1,362,53,44,101.5933004680919,1632.526607874377
212,PB,1,501,125,113,130.2176831309788,2856.688330779226
213,PB,1,577,135,123,119.86483596117753,3123.3143983435502
214,PB,1,447,103,91,124.05466013012168,2737.46094279965
215,PB,1,481,106,94,126.02761998863582,2667.3059719034095
216,PB,1,473,119,107,112.0380805797743,2691.873865734469
217,PB,1,656,144,133,117.20760086274268,3242.9935128638886
218,PB,1,627,150,138,119.69694064594968,3332.3727276334344
219,PB,1,550,137,126,127.56984479100068,3098.151677166226
220,PB,1,532,108,97,131.55059026853507,2714.398542119184
221,PB,1,475,87,77,125.44785410679611,2438.9965833780097
222,PB,1,635,149,137,130.71601164356264,3481.617668708432
223,PB,1,571,140,128,125.2561439610848,3200.7341557561376
224,PB,1,423,81,69,117.13180652581092,2234.463271145235
225,PB,1,581,134,122,124.55052990654033,3134.041191218999
226,PB,1,547,110,98,124.64630319427849,2863.515851228929
227,PB,1,497,113,101,117.50563731157752,2690.7324723417014
228,PB,1,487,111,99,122.79372866722471,2637.1077552068523
229,PB,1,484,85,74,128.17113949715826,2512.374285669662
230,PB,1,402,81,70,111.33156291007505,2224.543134209694
231,PB,1,543,121,109,113.70383898532187,2870.4545437513807
232,PB,1,488,95,84,116.56757610931095,2655.8067041041386
233,PB,1,452,95,84,131.14090628022973,2384.1636396486306
234,PB,1,519,123,111,117.19445592689101,2881.358658207064
235,PB,1,555,114,102,117.5593373577786,2842.7334432385537
236,PB,1,505,129,117,134.3136422706197,3036.252057554506
237,PB,1,475,119,107,117.59989030607129,2722.6707355639674
238,PB,1,505,96,86,117.66867085167571,2409.46652178225
239,PB,1,591,141,129,128.69930885595306,3356.109552273614
240,PB,1,440,91,80,123.21389288550216,2442.1564353210165
241,PB,1,406,75,64,119.2902799896119,2154.2839250778234
242,PB,1,517,126,114,121.25838115363408,2957.9484442070298
243,PB,1,597,141,129,123.01238840051843,3317.14531887391
244,PB,1,423,86,76,118.35004816222087,2240.365900332543
245,PB,1,539,126,114,123.51947862584265,3156.4014074936267
246,PB,1,431,97,85,121.95167444524901,2485.191228574821
247,PB,1,543,130,118,130.67052192441875,2873.0046300873687
248,PB,1,535,132,120,129.763754954918,2930.6096922902893
249,PB,1,441,90,78,116.21571838611162,2197.0646577205853
250,PB,1,661,149,137,115.8272118286545,3443.9226629840896
251,PB,1,521,128,116,115.27935851660523,3082.504428527664
252,PB,1,474,106,95,119.75542158917065,2672.61030936264
253,PB,1,741,189,177,129.43879209881402,4033.4970819917303
254,PB,1,410,80,69,115.04487211518817,2301.2364441413033
255,PB,1,533,129,117,121.02582121183892,2869.8782835005604
256,PB,1,491,117,105,123.78737980909038,2784.835289734858
257,PB,1,455,100,88,119.1140079923432,2578.710366859515
258,PB,1,511,104,92,109.44705980518617,2635.8183438417973
259,PB,1,527,122,110,117.31578921867252,2920.0941789108797
260,PB,1,463,103,91,114.34145836047396,2488.5546114194913
261,PB,1,515,109,97,122.74639628111288,2971.263901120197
262,PB,1,400,80,69,121.27900189233088,2119.9839503157514
263,PB,1,531,121,109,131.5299574241549,3035.707628698046
264,PB,1,516,109,98,110.77199871808759,2764.34116951772
265,PB,1,483,100,88,121.94816603787037,2640.4530394178614
266,PB,1,609,141,129,116.2898968096541,3226.5102458488514
267,PB,1,523,109,97,114.86741443943099,2745.735060596172
268,PB,1,491,118,106,123.70093289866492,2867.2988258366076
269,PB,1,589,141,129,120.15103703256165,3268.1491239620004
270,PB,1,517,106,94,125.11411031534372,2857.040080567876
271,PB,1,574,128,117,115.6471988419953,3074.124876454712
272,PB,1,542,95,84,120.37340985450234,2749.2968429329067
273,PB,1,611,145,133,121.28730106651726,3356.0892326630674
274,PB,1,454,80,69,112.2988410447766,2072.39440675044
275,PB,1,547,126,114,116.05211113978065,3077.3010144354284
276,PB,1,512,100,89,117.36532366930192,2512.30857667662
277,PB,1,595,131,119,124.32865196727583,3003.435222804868
278,PB,1,535,131,119,128.00598032904557,3069.9667866332707
279,PB,1,559,124,112,126.89114626324408,2909.664994977804
280,PB,1,421,99,87,118.2198866519504,2464.845514596383
281,PB,1,487,108,96,128.25565796486327,2742.020058975962
282,PB,1,543,123,111,116.5569448810323,2912.9681238305584
283,PB,1,473,120,108,120.80539474708901,2732.313892776135
284,PB,1,627,155,143,130.43901026916757,3622.78562561319
285,PB,1,477,120,108,122.1194877978122,2814.549287606987
286,PB,1,503,107,95,123.82745091456901,2746.9460205298433
287,PB,1,468,85,74,131.12548722502427,2164.6961520523255
288,PB,1,631,152,140,126.46039103213306,3419.3828120976746
289,PB,1,428,85,74,110.36584344805235,2177.956873474035
290,PB,1,565,167,155,119.82623502388782,3479.2100957185608
291,PB,1,420,86,75,126.28000395945513,2329.2556729495645
292,PB,1,429,78,68,125.84179313725626,2184.926180215112
293,PB,1,540,120,109,131.14605827092174,2802.595463220256
294,PB,1,486,99,88,114.53169386680702,2583.578245424182
295,PB,1,546,116,105,127.59606498634668,2871.7999838599817
296,PB,1,487,111,99,129.9165089586385,2601.9402043353557
297,PB,1,575,120,108,124.17135257377204,2839.306268819889
298,PB,1,517,120,108,132.02771943800286,3106.020223305625
299,PB,1,470,94,83,128.66320103277394,2537.8361526525227
300,PB,1,523,133,121,132.22756180161534,3056.671151938821
301,PB,1,539,137,125,123.01993375059182,2986.3166707636988
302,PB,1,538,106,95,130.1916967398459,2810.203029859451
303,PB,1,474,106,95,122.33533340780987,2649.0315747727423
304,PB,1,526,126,115,126.67216505610062,2797.6592000682494
305,PB,1,532,103,92,128.89695923488654,2644.3271475156216
306,PB,1,468,92,81,128.7180030143414,2473.524255053626
307,PB,1,500,99,88,116.82541547112083,2673.4977477446455
308,PB,1,528,123,112,126.09325200025575,2848.793672697495
309,PB,1,388,73,62,120.18900448876344,2089.0971843400703
310,PB,1,446,87,76,121.24155475743454,2307.0368765328735
311,PB,1,623,151,139,135.21432061730738,3294.862621022408
312,PB,1,471,101,89,120.63984665109618,2548.3575989288815
313,PB,1,527,131,119,118.71446247193305,3068.3952681934975
314,PB,1,625,147,135,127.89497644551956,3394.469152039215
315,PB,1,499,109,97,124.75721943038005,2711.8689527547385
316,PB,1,467,104,92,123.93001291051333,2706.7513214580526
317,PB,1,521,121,109,128.213473940924,2938.1829350599937
318,PB,1,493,107,95,121.66836112975305,2659.6801714507455
319,PB,1,470,97,86,113.70231791832566,2394.804412266272
320,PB,1,463,104,92,121.2468432578762,2751.6066996966492
321,PB,1,442,85,74,119.61819468626,2343.0971797126404
322,PB,1,569,135,123,116.66307513519435,3299.2528221712705
323,PB,1,523,114,102,115.89522207580431,2770.285720415323
324,PB,1,498,96,85,116.2874864291081,2506.982969162394
325,PB,1,575,127,115,122.93738772236867,3066.1778460019063
326,PB,1,571,120,108,122.88529651671107,2955.2764428828486
327,PB,1,537,140,128,127.1727380376785,3127.9240716290324
328,PB,1,444,106,95,122.23268998103575,2497.9268262243572
329,PB,1,545,104,92,121.43256482509129,2702.2953245613494
330,PB,1,568,110,99,122.2614325942568,2871.4040967642914
331,PB,1,477,82,72,122.15237165114723,2353.6292230347726
332,PB,1,449,88,76,128.0824367350965,2236.7412719911827
333,PB,1,509,122,110,125.83286931481773,2856.0530854920253
334,PB,1,503,117,105,125.87800363844352,2867.2611960643367
335,PB,1,559,134,122,126.3644229995136,3034.8720814410312
336,PB,1,467,113,101,112.90373421636681,2714.2916974168133
337,PB,1,508,106,95,129.9610130000532,2761.4748976779288
338,PB,1,391,77,65,125.02716064919655,2136.469502596141
339,PB,1,553,137,125,122.71351718535331,3082.604782460788
340,PB,1,480,103,92,127.78130731840241,2639.522012028413
341,PB,1,535,129,117,124.08321159608981,3137.014604078697
342,PB,1,516,116,105,124.85409965235424,2855.054157488934
343,PB,1,529,134,122,130.29287163924204,3019.920906432345
344,PB,1,565,140,128,118.6309424222871,3109.4685999764665
345,PB,1,558,116,105,120.25086527755217,2816.222511619716
346,PB,1,502,113,102,117.08430808609667,2563.7534938178565
347,PB,1,591,146,134,122.34039193986587,3319.10097462913
348,PB,1,559,136,124,115.09579531850848,3230.525217850201
349,PB,1,522,109,98,118.27759128423271,2687.007367978162
350,PB,1,482,74,65,111.42942340333633,2239.0522883211274
351,PB,1,553,114,102,123.01367119145742,2761.0921135398785
352,PB,1,504,125,114,122.68285047226445,2853.0905244698956
353,PB,1,574,130,119,114.83662612598822,3018.9801424561533
354,PB,1,673,164,152,121.2199410163196,3759.9464290826077
355,PB,1,450,91,80,118.890263688832,2268.425421952158
356,PB,1,387,82,70,116.41341030998103,2326.3074687072526
357,PB,1,520,115,104,119.1835852791818,2658.3195532249297
358,PB,1,555,111,99,126.87830271563378,2852.3199314108947
359,PB,1,535,130,118,118.31836543833761,3049.390782713179
360,PB,1,427,89,77,117.41098756079006,2399.6626425264467
361,PB,1,535,137,125,123.96453807440255,3109.0410618801698
362,PB,1,429,94,82,120.1460794200127,2451.2090709435024
363,PB,1,519,118,106,129.86210879236484,2959.1019670111195
364,PB,1,599,138,126,126.98073279045133,3189.3973160914566
365,PB,1,547,135,123,119.41453596610421,3114.802672683748
366,PB,1,553,141,129,117.4058946561032,3120.379995426828
367,PB,1,446,87,76,122.73297723106045,2366.371843921476
368,PB,1,384,71,60,113.29437982530288,2041.4509973955865
369,PB,1,498,113,102,127.7695394059163,2752.9570132736762
370,PB,1,533,128,116,130.633597898856,3002.383399612374
371,PB,1,547,113,101,126.12685836093755,2876.6514367664545
372,PB,1,344,68,57,116.18427862667134,1904.3847524719886
373,PB,1,529,117,105,135.05554746103547,2756.9196428185705
374,PB,1,505,109,97,130.03372908595676,2822.7961708264806
375,PB,1,370,56,45,105.7208300194432,1874.7662206890986
376,PB,1,523,116,104,112.68011093356272,2842.35271287244
377,PB,1,490,94,83,121.01271462123309,2381.439648944258
378,PB,1,609,162,150,126.88602011254038,3549.9496324674524
379,PB,1,406,85,74,114.4969370769367,2273.5577102392926
380,PB,1,475,101,89,117.37514004251497,2607.5147623615703
381,PB,1,523,120,108,121.0707037230725,2946.986435128873
382,PB,1,490,113,102,115.38596535107723,2564.496874518345
383,PB,1,565,139,127,120.07892945891881,3070.8845482910756
384,PB,1,546,104,93,117.84337274535213,2857.700222733276
385,PB,1,548,117,106,129.76139564600868,2956.8084754199276
386,PB,1,436,96,85,121.15540309866499,2372.123493510809
387,PB,1,511,111,99,132.26137493614678,2884.743067309278
388,PB,1,537,125,113,125.97722730716056,2957.163698435586
389,PB,1,517,128,116,121.83099933924862,2999.174325227421
390,PB,1,599,147,135,121.91190384863982,3230.6850922802705
391,PB,1,539,116,104,124.76487125789855,2734.054609898131
392,PB,1,499,115,103,127.4581947149731,2751.708893172277
393,PB,1,405,83,71,121.60714370463603,2276.0802838474046
394,PB,1,589,145,133,123.71353563777893,3202.467513745935
395,PB,1,619,163,151,116.848830974041,3494.600959290174
396,PB,1,550,117,106,131.33873305312488,2925.688457920443
397,PB,1,481,111,99,123.15936423999598,2721.0716548381724
398,PB,1,495,119,107,127.37820260939466,2726.2797312979574
399,PB,1,480,100,89,128.8837836967863,2534.7176222624203
400,PB,1,540,115,104,118.44268698404305,2821.982498924535
401,SA,2,201,87,68,20.83979366500542,810.4556921400426
402,SA,2,202,89,70,20.11750730085614,794.3495862703232
403,SA,2,236,111,92,19.57612065757667,924.863836627603
404,SA,2,208,88,69,19.46592920977573,838.2713273495533
405,SA,2,207,91,72,19.23712556490704,817.8972293740189
406,SA,2,221,97,78,19.3504651106892,879.2945190734976
407,SA,2,214,92,73,20.157098005417346,854.3666080923102
408,SA,2,210,90,71,20.445911571754387,838.2465998898055
409,SA,2,216,96,77,20.628703303891886,867.0028776353677
410,SA,2,208,91,72,19.59245262849958,835.8303961513599
411,SA,2,209,90,71,20.3921774217468,828.227372781769
412,SA,2,198,87,68,20.8070396741103,795.6121729313886
413,SA,2,217,98,79,20.856838207168412,869.6372068190964
414,SA,2,208,90,71,20.57536876947774,827.6394930624623
415,SA,2,199,88,69,20.474288754435403,784.4505312610023
416,SA,2,203,89,70,20.033664168094663,808.5829462296376
417,SA,2,199,86,67,20.685661700801354,804.8922063863338
418,SA,2,213,94,75,20.95173501168817,855.8102078051255
419,SA,2,218,99,80,20.475187422829613,872.0089117710302
420,SA,2,230,104,85,21.05969135576303,917.2646615883772
421,SA,2,208,90,71,20.540301847830765,830.182233404046
422,SA,2,199,88,69,19.64271111634033,791.5677341406645
423,SA,2,198,87,68,20.376138005029315,776.2138139075162
424,SA,2,200,86,67,20.699577290369966,803.6817089960047
425,SA,2,225,100,81,19.581136330662734,901.8981911654255
426,SA,2,220,101,82,20.374125748114935,876.8127428402788
427,SA,2,205,89,70,20.114010042753783,811.6583427204476
428,SA,2,223,102,83,19.24315462703556,871.8716819819462
429,SA,2,224,96,77,19.498846119706673,892.2428284099847
430,SA,2,207,90,71,19.711745229684762,816.4895409027165
431,SA,2,194,83,64,20.60287601282889,784.0482439167504
432,SA,2,211,92,73,19.744389076393325,836.7501162478317
433,SA,2,213,96,77,20.10938835469642,854.2874728542022
434,SA,2,186,79,60,20.000722486950316,757.4516072259881
435,SA,2,213,91,72,20.53780416695027,854.3107469990686
436,SA,2,199,85,66,19.55969836168237,801.4594564150968
437,SA,2,199,84,65,20.95405450026319,793.1133087128866
438,SA,2,210,91,72,21.611665831212548,848.4027041845893
439,SA,2,202,87,68,20.5711181028159,826.1777670295252
440,SA,2,216,94,75,20.159714779728407,860.2655296353314
441,SA,2,240,108,89,20.707942920531725,950.5562069613433
442,SA,2,227,103,84,20.165376267255716,889.1728561563683
443,SA,2,197,84,65,20.043407893868746,803.4357914274559
444,SA,2,197,85,66,20.24126972301886,776.6529758573646
445,SA,2,240,109,90,19.76325125074313,948.9654508516933
446,SA,2,180,78,59,19.58260707873188,717.1296357872659
447,SA,2,197,84,65,20.69999758454092,800.114628129537
448,SA,2,185,78,59,20.32271881417445,735.8374573917401
449,SA,2,209,93,74,19.78256302909206,825.7201980500579
450,SA,2,200,83,64,20.272821707892565,817.1955484552292
451,SA,2,207,91,72,21.34048499917469,827.6780034439369
452,SA,2,221,97,78,21.421939688086137,879.7575149806127
453,SA,2,213,93,74,20.532941825271898,863.8949688228934
454,SA,2,192,80,61,20.244725238935697,764.1878212040316
455,SA,2,211,94,75,20.758017728097258,836.2493663066571
456,SA,2,225,103,84,19.97227077725515,888.8733389103274
457,SA,2,201,87,68,20.41928010484209,805.5484898630381
458,SA,2,214,93,74,20.75256851572836,844.2079789071802
459,SA,2,206,88,69,19.903130407049037,819.6732164933214
460,SA,2,185,75,56,20.66909044926748,754.216464054357
461,SA,2,204,89,70,20.647881247236967,823.8147263987687
462,SA,2,214,92,73,20.401151928261307,858.8302984379471
463,SA,2,206,90,71,20.11899102837913,827.3100121874406
464,SA,2,203,95,76,20.153778802001376,794.0654682645232
465,SA,2,196,85,66,19.976085702659567,788.3926371821562
466,SA,2,188,77,58,20.114005071094123,763.9416680358927
467,SA,2,224,99,80,21.511880438492586,901.7316210824066
468,SA,2,211,90,71,20.30979566613116,838.6053004698521
469,SA,2,216,95,76,20.582762205301794,875.6974735711026
470,SA,2,219,97,78,20.462785734107662,872.163101650553
471,SA,2,213,94,75,20.675265415466857,848.9667397752439
472,SA,2,212,91,72,20.43977739604813,851.1438498430646
473,SA,2,220,96,77,20.838905921376966,873.8984830363293
474,SA,2,212,92,73,20.401169084148094,852.9555827316605
475,SA,2,212,93,74,20.382681374147023,841.5375623788995
476,SA,2,223,101,82,21.372865975343597,892.9390125562727
477,SA,2,220,98,79,20.074192387241883,871.5052060804794
